area,bedrooms,age,price
850,1,28,42000
920,2,24,47000
980,2,18,54000
1050,2,15,59000
1120,2,12,63000
1180,2,10,67000
1250,3,22,71000
1320,3,16,79000
1400,3,14,86000
1480,3,11,92000
1550,3,9,98000
1620,3,7,104000
1700,4,19,112000
1780,4,15,121000
1850,4,12,129000
1930,4,10,137000
2000,4,8,145000
2100,4,6,156000
2200,4,5,168000
2300,5,18,172000
2400,5,14,183000
2500,5,11,194000
2600,5,9,207000
2700,5,7,220000
2850,5,6,236000
3000,6,15,248000
3150,6,10,272000
3300,6,7,295000
3500,7,5,325000
3800,7,3,365000
